price,marketing_spend,num_features,usage,tenure,satisfaction,churn
67.38,7008.09,14,47.22,38,2.07,0
179.47,2048.54,8,85.7,68,2.36,0
143.49,2486.24,13,63.51,19,4.67,0
99.63,12724.62,3,32.77,17,4.02,0
59.53,4357.48,7,44.97,13,3.62,0
96.65,3729.42,12,72.14,1,2.02,0
98.78,8068.76,3,97.46,2,3.79,0
159.44,11762.46,4,89.85,66,4.55,0
145.63,1867.25,9,37.53,68,1.92,0
183.08,9075.31,13,99.83,16,3.82,0
120.83,2668.95,4,5.33,4,2.57,1
67.94,1510.45,3,7.62,57,1.48,0
156.99,1738.42,5,83.26,23,4.05,0
164.12,12678.3,7,23.95,2,1.67,0
134.19,2651.61,5,10.77,67,2.01,0
165.65,1632.12,4,27.53,26,4.13,0
124.07,7130.6,8,45.48,7,3.97,0
128.41,12815.91,4,74.4,44,2.02,0
114.13,4673.72,2,64.31,33,4.76,0
53.81,6903.98,10,27.57,64,1.86,0
66.18,1558.92,13,52.81,36,4.97,0
54.71,7287.1,14,92.99,4,3.95,0
145.46,9086.58,6,82.43,23,2.57,0
97.15,8992.7,2,35.7,25,1.52,0
126.29,5653.97,3,98.32,27,2.28,0
186.13,5417.46,1,72.32,51,1.77,0
87.39,2492.73,5,10.93,69,3.49,0
111.56,6135.18,9,8.34,23,2.43,0
163.33,2392.93,2,21.0,9,2.18,1
84.32,11732.34,12,74.15,33,4.03,0
61.55,14527.84,7,22.46,35,1.92,0
93.46,14581.04,5,53.59,50,3.35,0
74.18,13111.0,2,13.86,24,1.78,0
189.45,9411.09,8,92.48,24,3.86,0
171.22,10812.12,11,37.68,19,3.5,0
145.01,4992.88,13,91.27,39,4.19,0
180.72,9830.79,13,94.76,61,1.27,0
170.55,7379.09,6,5.58,25,1.84,0
77.99,7748.24,4,49.09,25,1.62,0
183.88,11608.87,13,7.34,27,1.76,1
130.9,4946.86,4,91.33,32,1.41,0
171.12,5452.55,2,54.25,11,3.25,0
184.41,13944.99,3,12.12,69,3.37,0
97.7,1787.14,7,15.48,33,4.37,0
66.51,7798.88,3,41.43,19,2.67,0
84.19,13779.21,13,94.32,16,3.13,0
114.07,9545.08,5,70.83,11,4.97,0
172.7,8649.7,10,87.42,69,3.13,0
179.11,4496.42,6,39.81,55,3.29,0
51.04,5805.86,6,9.11,25,4.98,0
126.61,12928.68,14,97.56,34,4.98,0
112.61,8829.05,4,6.63,12,2.7,1
83.32,8206.39,6,95.03,21,3.54,0
67.98,2394.12,3,40.02,29,2.92,0
100.64,1224.39,7,5.96,51,3.88,0
191.44,14491.59,7,70.47,23,4.75,0
98.48,6277.81,4,98.15,33,2.24,0
127.82,9444.98,2,96.73,8,4.28,0
155.45,2116.01,11,20.29,42,3.62,0
104.54,10563.6,7,22.22,69,2.12,0
195.77,14055.93,3,58.73,41,4.19,0
194.37,9059.31,1,65.54,63,2.71,1
87.77,2765.61,2,75.24,14,1.48,0
124.59,9144.1,10,22.2,62,4.97,0
95.13,11728.86,9,96.11,46,2.7,0
92.73,6689.83,12,65.68,67,3.17,0
55.53,13317.73,8,85.47,53,4.23,0
141.43,10081.56,14,56.31,52,4.84,0
125.4,13589.48,6,44.36,7,4.49,0
57.72,9729.07,14,97.83,54,3.1,0
91.8,2838.03,6,60.3,11,3.18,0
186.24,5335.68,14,87.35,25,2.12,0
85.93,3825.13,1,95.56,59,2.85,0
71.73,13723.57,2,69.16,66,4.79,0
123.42,11645.6,4,57.15,27,3.91,0
197.85,10469.58,3,5.33,58,1.05,1
86.31,5213.53,14,8.8,11,1.47,0
150.82,3576.63,1,24.08,55,4.7,0
164.24,11590.32,8,22.67,19,4.39,0
85.65,7638.21,7,29.2,39,2.94,0
159.23,4161.05,4,33.97,70,3.47,0
105.17,9632.71,12,39.21,11,2.16,0
144.85,1564.67,12,44.95,14,4.17,0
145.03,5566.38,9,14.39,60,3.41,0
130.37,7559.8,11,9.02,36,3.78,0
63.54,3071.42,14,69.02,41,2.5,0
175.3,14785.16,4,56.05,2,2.72,0
98.12,3927.36,1,47.19,57,1.83,0
77.98,2824.94,10,65.27,60,4.79,0
56.12,3849.49,1,83.63,20,4.79,0
138.63,11766.86,1,45.63,22,4.27,0
151.63,6957.08,1,65.91,4,4.74,0
52.49,8915.82,4,95.59,56,3.66,0
126.81,1294.13,1,84.76,58,1.94,0
83.97,1482.04,2,45.47,65,4.04,0
146.78,7241.56,4,66.25,58,2.3,0
76.15,12433.17,7,21.82,30,2.76,0
153.64,13393.34,2,58.25,19,2.1,0
108.01,2213.89,8,98.23,62,2.69,0
190.51,8537.08,13,54.24,68,3.72,0
70.63,13785.22,7,93.13,44,1.44,0
101.16,6431.62,9,43.7,61,1.42,0
67.02,12613.92,14,99.89,21,3.74,0
188.7,2871.74,6,60.03,10,4.12,0
181.6,14095.52,4,9.02,30,3.21,0
88.69,11519.93,6,60.74,24,1.73,0
149.0,14178.68,4,31.08,48,2.72,0
172.58,10472.64,7,8.09,55,4.03,0
133.28,6087.66,9,82.98,52,3.74,0
129.45,14134.54,3,31.19,38,1.44,0
86.28,4857.93,3,80.67,67,4.88,0
63.97,5650.42,2,32.38,8,1.89,0
184.58,10811.32,1,23.46,29,1.88,0
185.06,11714.43,14,97.52,10,2.84,0
144.97,14011.65,1,39.36,69,2.31,0
100.85,3867.23,13,62.13,68,4.94,0
102.38,12171.97,3,62.95,49,1.31,0
158.89,11339.64,14,58.24,58,2.23,0
184.57,1893.12,7,91.9,35,2.53,0
183.06,6421.12,11,69.07,50,2.97,0
166.98,4958.72,9,43.35,40,1.07,0
146.3,5262.87,14,86.93,12,1.33,0
62.62,14761.26,2,22.2,16,2.03,0
74.24,9998.88,7,56.7,48,3.22,0
184.78,11047.47,1,95.3,1,4.07,0
140.96,14672.65,2,64.41,65,3.75,0
51.38,6280.82,6,82.61,22,3.27,0
65.22,12225.76,11,67.09,15,2.59,0
149.53,7083.43,5,84.74,67,4.48,0
50.76,13173.47,8,94.73,14,2.84,0
74.12,3529.21,12,30.93,19,2.2,0
132.31,14267.61,11,21.12,40,3.52,0
153.78,4062.8,2,50.98,4,3.77,0
147.79,5567.09,1,71.68,33,2.59,0
83.64,11586.69,7,26.58,43,1.11,0
156.83,6512.57,6,5.39,37,1.38,0
85.59,9514.96,8,37.58,66,4.38,0
98.81,7224.03,11,97.04,27,1.23,0
161.97,11393.18,13,71.02,45,3.37,0
147.44,4196.64,14,43.13,50,1.73,0
177.38,1818.41,8,23.29,63,1.92,0
148.64,5199.01,2,38.83,6,2.09,0
135.25,7640.32,14,21.13,67,1.15,0
64.05,3352.28,8,15.1,67,1.71,0
105.16,5967.16,6,91.14,59,3.6,0
89.78,6599.76,9,99.78,13,2.99,0
86.6,1803.49,12,20.59,21,4.19,0
195.95,9166.3,7,10.18,64,1.24,0
108.96,13380.81,2,36.32,37,4.56,0
183.81,3124.4,8,48.86,48,4.99,0
144.67,9369.31,9,24.46,56,1.06,0
169.22,10306.35,7,33.64,44,4.87,0
125.4,6870.69,4,24.08,13,1.94,0
136.54,10815.37,9,78.55,4,3.77,0
123.88,6750.24,4,72.69,33,2.17,0
79.29,8064.92,12,65.32,37,3.09,0
158.37,1102.94,4,41.79,53,3.04,0
92.12,10684.08,9,91.36,24,2.44,0
53.65,10258.8,14,97.11,51,3.87,0
146.82,1537.61,8,21.5,41,3.4,0
76.57,6155.5,4,26.19,29,3.03,0
191.07,14706.45,14,54.93,59,4.93,0
193.09,6890.31,8,13.67,40,4.76,0
187.23,8027.24,8,46.46,51,4.82,0
105.52,13739.02,7,60.27,50,4.53,0
52.32,11041.67,10,54.6,36,2.02,0
189.25,9148.98,13,36.44,60,2.4,0
114.23,12169.27,6,56.53,18,1.92,0
195.0,13101.13,8,96.09,20,4.94,0
194.54,7396.43,7,24.57,5,1.61,1
177.95,7651.52,5,67.21,18,2.47,0
94.17,6404.71,12,9.12,40,1.8,0
107.76,14533.89,13,11.31,1,1.89,0
177.67,10760.33,13,57.42,19,1.99,0
97.54,2165.12,4,14.97,26,3.56,0
75.42,13081.43,14,7.12,29,1.3,0
133.52,7727.84,12,21.29,59,3.29,0
190.42,1962.55,2,58.66,63,4.28,0
154.4,8696.04,11,71.82,62,4.07,0
135.51,6840.3,8,24.24,48,1.6,0
64.58,13288.49,9,68.48,62,4.66,0
142.25,3855.92,4,22.34,18,4.08,0
198.51,12570.5,4,63.28,66,1.02,0
71.01,8807.64,5,44.14,27,3.95,0
127.75,1764.54,2,67.11,6,3.95,0
181.61,14605.83,7,99.53,70,2.99,0
161.12,8176.61,5,94.09,59,1.18,0
154.55,5072.28,6,5.41,6,3.32,0
155.37,7571.7,4,89.12,31,4.06,0
103.92,13010.01,8,11.32,56,2.08,0
94.04,5268.64,8,95.54,54,3.67,0
171.4,3697.47,12,31.77,41,2.42,0
171.52,2807.0,5,41.29,18,3.3,0
180.06,5170.03,12,13.71,23,2.54,0
186.99,11920.67,6,15.67,36,2.22,1
126.7,7602.77,3,74.04,25,4.42,0
125.23,4184.74,1,94.71,7,4.02,0
169.74,3326.59,9,63.02,20,2.38,0
147.49,5658.21,9,73.01,5,2.74,0
155.3,14158.94,3,77.39,18,3.77,0
169.37,5802.37,4,29.97,33,4.24,0
183.5,14833.74,13,9.3,35,3.74,0
100.7,7793.23,7,5.18,65,3.16,0
106.34,3508.29,2,38.31,63,4.82,0
64.1,13475.96,12,27.94,71,4.1,0
136.74,7444.98,3,10.92,41,1.46,0
55.39,10935.4,6,22.06,50,3.23,0
119.84,14771.96,11,16.83,30,2.64,0
131.4,1702.45,8,91.91,38,4.18,0
92.98,2353.72,1,18.33,35,1.18,0
138.62,11086.39,4,56.08,66,2.64,0
54.58,4945.55,1,61.35,46,2.27,0
55.6,3580.22,2,56.63,8,1.56,0
173.39,1551.07,8,14.41,68,2.52,0
104.03,1305.85,6,35.29,37,3.69,0
69.06,11842.8,9,9.87,13,2.45,0
128.34,2882.07,2,42.59,45,3.32,0
165.5,7548.09,3,22.92,29,3.37,0
82.37,9482.56,9,58.36,41,3.35,0
143.43,6996.93,9,70.82,56,3.12,0
62.8,1379.49,13,55.55,16,1.47,0
57.75,11969.02,6,46.25,12,1.87,0
129.7,1147.19,14,41.8,66,4.2,0
131.1,11666.46,3,84.96,62,3.01,0
145.61,13506.26,5,25.84,19,3.82,0
158.91,7059.76,2,74.75,30,3.28,0
196.38,8497.59,7,76.96,16,1.15,0
127.45,7677.77,10,44.82,13,4.18,0
98.44,6448.92,11,33.24,69,1.26,0
169.28,13423.94,8,49.7,23,4.77,0
90.62,13515.07,6,13.86,62,1.86,0
115.85,5701.43,8,9.36,31,3.05,0
61.77,9610.98,2,15.6,53,1.25,0
53.8,13976.71,3,22.78,17,4.58,0
194.4,14468.82,7,52.9,49,4.92,0
175.4,8125.43,10,85.67,49,1.59,0
154.4,7339.55,12,27.39,67,2.18,0
111.34,4901.72,1,93.84,26,1.06,0
75.99,14424.21,7,95.72,13,4.15,0
73.47,2999.4,6,96.1,38,2.25,0
87.54,9117.61,8,84.57,22,3.36,0
132.38,4955.7,7,39.56,29,1.16,0
157.19,4906.12,4,11.9,45,3.86,0
149.03,6669.56,3,59.04,46,3.12,0
91.99,14983.1,3,58.07,39,3.9,0
193.23,1769.53,4,85.75,69,4.16,0
160.68,9099.59,9,99.62,68,1.36,0
133.15,2156.01,9,53.27,39,3.31,0
141.76,3163.29,13,37.79,20,3.6,0
112.94,7153.88,2,22.66,68,3.07,0
87.16,8146.44,5,5.46,35,1.73,0
103.4,4623.09,1,53.37,8,4.18,0
163.68,5430.4,4,57.77,52,4.99,0
52.16,2217.54,2,83.37,40,4.88,0
67.41,5245.08,8,52.93,36,4.11,0
56.9,14531.82,4,92.06,6,2.67,0
56.11,14225.9,5,64.67,70,2.35,0
178.32,5688.3,11,84.83,16,1.27,0
155.55,8991.96,4,19.09,46,2.67,0
121.13,13734.34,5,86.26,59,1.62,0
64.68,1086.57,5,69.14,38,2.02,0
123.74,12349.57,5,21.17,18,4.57,0
121.02,14277.17,11,23.03,12,4.87,0
75.98,2278.56,3,93.02,54,4.79,0
115.08,3260.27,7,8.06,47,1.77,0
109.78,14450.45,3,48.94,1,4.6,0
142.38,8525.56,2,34.78,15,1.57,0
145.26,1198.75,3,68.18,21,3.03,0
56.8,4606.85,11,84.76,1,3.57,0
106.19,7299.21,3,39.24,67,2.85,0
143.88,10700.72,8,45.56,12,4.81,0
125.47,11264.25,4,98.28,28,2.33,0
178.47,14935.9,3,79.47,39,3.11,0
148.8,5025.16,10,90.23,37,1.3,0
74.44,8535.08,5,46.68,60,4.41,0
60.59,8466.53,4,27.24,31,2.65,0
146.36,6679.03,9,44.13,58,3.8,0
53.98,3368.27,8,73.03,11,3.73,0
137.87,14684.39,11,15.4,29,3.71,0
191.03,12946.44,7,30.69,13,3.03,0
136.32,7976.66,8,9.43,51,2.11,0
108.23,9445.44,13,46.07,54,3.5,0
146.49,4181.65,5,83.61,19,4.85,0
118.74,8613.02,4,7.34,58,4.34,0
131.84,10729.58,7,69.16,36,1.44,0
191.22,8212.34,1,93.59,28,1.09,0
107.92,14863.99,6,27.51,68,3.0,0
194.18,9558.78,8,70.9,3,4.1,0
185.8,6193.63,7,97.63,41,2.26,0
79.37,11810.13,2,96.42,35,3.8,0
60.4,3386.48,14,27.32,50,4.73,0
65.12,6383.22,13,14.53,30,2.84,0
52.73,5857.43,14,19.09,70,1.98,0
64.17,7045.3,7,71.69,54,4.67,0
152.45,11944.92,13,73.95,71,2.89,0
60.68,7778.42,6,69.05,51,2.63,0
97.85,12116.2,13,36.93,28,2.41,0
176.73,9070.84,5,21.13,64,2.69,0
53.49,5788.97,4,60.17,21,3.69,0
172.17,12339.7,1,50.95,27,2.73,0
92.28,4336.06,13,74.24,27,2.3,0
67.72,4141.36,2,46.93,50,3.97,0
154.51,8063.04,7,37.17,29,1.81,0
144.34,4651.89,10,32.88,39,1.81,0
181.62,1127.22,3,25.09,57,3.79,0
160.26,10076.17,5,30.25,37,4.47,0
170.52,8155.31,8,14.01,64,1.96,0
92.31,7237.25,13,37.95,48,1.76,0
76.62,14537.56,13,8.47,22,3.68,0
162.59,8996.79,8,22.71,30,3.48,0
171.03,13088.04,6,75.94,28,2.79,0
198.58,2952.3,5,35.92,23,1.38,1
111.89,8968.89,13,68.48,4,1.37,0
105.8,13151.71,2,73.1,3,4.11,0
166.46,9163.48,9,60.21,61,2.81,0
101.12,11052.2,1,96.08,4,4.43,0
189.61,6208.61,11,7.04,65,3.3,1
178.76,2294.29,2,75.17,12,3.47,1
114.35,7410.6,13,96.08,13,4.74,0
162.63,6522.71,1,86.92,34,1.66,0
163.18,13138.84,12,20.95,59,3.17,0
65.47,4415.93,4,36.05,31,1.23,0
185.38,14534.28,4,21.38,71,2.44,0
125.79,14413.93,5,62.12,13,1.59,0
173.97,4466.84,5,72.66,54,1.75,1
98.01,5872.73,8,35.12,2,4.74,0
184.33,13537.78,11,56.25,33,3.44,0
108.38,14532.71,11,70.64,50,4.57,0
51.63,7208.15,3,45.03,7,2.77,0
185.81,5493.96,6,86.13,18,3.39,0
63.69,8365.32,12,78.3,51,1.13,0
97.9,10628.77,13,11.14,8,2.88,0
192.51,4828.64,12,64.01,55,3.26,0
192.59,11310.62,3,27.36,43,1.07,0
136.02,1723.2,13,57.96,59,4.16,0
144.78,1690.12,2,95.9,30,2.18,0
117.27,6408.03,8,88.51,59,2.81,0
93.98,5948.62,1,43.43,9,3.14,0
99.3,5418.87,9,32.69,68,4.97,0
150.88,7874.28,11,27.27,39,1.4,0
162.86,5490.27,7,55.59,11,3.22,0
168.74,3691.61,12,15.85,2,3.12,0
168.44,5332.57,10,57.18,23,1.28,0
63.68,14648.66,13,5.13,63,3.54,0
124.16,6755.59,12,35.77,22,2.15,0
58.63,7225.98,11,25.89,61,1.42,0
132.43,9071.63,4,97.27,26,1.71,0
116.23,14766.77,3,74.09,12,4.29,0
183.16,4382.42,6,38.22,32,1.42,0
102.64,10537.95,9,13.82,9,2.87,0
67.56,11023.79,9,54.1,69,1.78,0
71.45,9502.54,4,25.28,71,1.65,0
164.23,2240.1,10,55.96,33,1.82,0
142.73,10476.21,5,84.36,24,2.97,1
65.17,1897.33,11,63.5,69,1.95,0
62.62,9346.0,13,65.21,38,1.39,0
155.15,11354.14,9,56.4,11,4.21,0
60.91,3953.58,2,93.09,32,3.16,0
173.28,12782.71,2,93.53,64,1.63,0
155.94,1424.95,5,53.71,20,2.89,1
62.2,12813.38,1,34.05,34,1.27,0
62.73,7444.61,8,48.66,42,3.32,0
198.0,4046.23,5,22.72,8,2.36,1
106.14,2872.89,12,65.45,66,1.41,0
105.6,14346.3,10,52.51,21,1.73,0
171.92,2017.32,2,14.81,70,2.38,0
192.09,3787.31,12,23.78,5,4.23,0
197.9,5869.51,9,50.57,67,1.7,0
163.01,9683.29,2,89.32,43,1.44,0
106.44,8627.22,7,58.81,16,3.06,0
62.53,2759.01,8,69.75,35,3.23,0
166.57,5056.19,14,37.21,43,1.36,0
133.76,4342.52,6,59.28,39,2.14,0
113.63,3989.6,14,47.5,10,2.05,0
185.95,6756.02,11,67.62,20,1.74,0
66.68,10856.44,7,9.8,1,2.26,0
123.89,4044.34,11,51.86,6,1.15,0
51.7,6133.5,1,33.12,53,3.61,0
120.3,6472.84,4,35.99,46,4.95,0
58.45,14670.39,13,96.29,66,3.54,0
67.82,14365.33,7,22.36,38,2.44,0
67.63,12201.93,1,34.57,33,3.67,0
147.38,4383.22,13,53.44,67,3.29,0
161.91,1952.52,1,86.99,35,4.39,0
137.51,5436.66,11,44.58,45,3.49,0
194.33,4735.12,6,75.67,22,3.54,0
106.23,8082.96,4,86.36,68,1.89,0
92.86,11888.19,3,34.45,17,2.66,0
180.29,13016.52,12,42.31,5,2.38,0
83.54,12828.1,5,38.87,57,1.05,0
194.48,6035.46,9,84.12,40,2.25,0
51.82,10621.28,10,9.21,30,2.94,0
195.48,5379.68,10,34.3,42,3.4,0
56.47,1852.68,12,69.54,7,4.74,0
183.67,10821.91,14,58.72,71,1.96,0
129.16,1137.59,14,46.45,19,1.61,0
198.94,6728.56,12,56.3,41,4.48,0
61.07,5611.31,11,23.77,34,4.77,0
133.08,10707.29,10,45.92,22,2.95,0
195.4,11727.44,3,52.66,52,1.46,0
128.46,5257.32,5,90.61,6,2.94,0
144.41,12362.78,10,29.78,25,1.44,0
154.36,5114.83,5,87.44,66,4.53,0
118.18,7248.57,9,66.2,10,3.83,0
144.13,11178.26,11,6.93,26,1.96,0
137.65,10700.88,12,73.84,5,4.55,0
185.17,14823.16,10,8.38,68,3.55,0
56.82,4152.25,11,99.75,71,4.81,0
92.14,10272.45,4,87.9,50,4.92,0
192.56,9535.55,1,33.25,17,1.01,0
183.54,13811.38,10,29.45,11,1.48,0
118.35,3189.07,5,41.24,53,3.19,0
143.02,11525.17,1,38.84,50,4.82,0
91.61,8955.76,6,40.37,8,4.98,0
78.22,4845.32,12,35.24,62,3.27,0
119.55,7642.09,10,64.01,29,1.7,0
103.0,5672.87,10,20.61,44,1.65,0
137.55,9110.39,7,85.37,45,4.06,0
61.66,13446.01,1,82.18,29,3.37,0
196.16,8970.27,10,50.27,59,3.2,0
197.93,9844.11,4,86.01,15,2.86,0
154.72,8262.47,9,28.48,70,3.9,0
130.41,1716.32,13,6.67,44,4.43,0
96.43,4260.02,1,63.82,36,2.21,0
172.07,7888.02,9,48.5,57,1.88,0
152.71,5343.29,8,58.88,64,3.68,0
74.39,3544.69,5,90.44,38,4.66,0
186.64,8057.86,6,97.14,17,2.39,0
173.38,5519.34,7,65.27,27,2.09,0
192.47,4613.51,4,77.59,17,1.9,0
158.86,7495.8,14,12.96,63,2.02,0
142.01,2865.98,14,20.27,11,1.54,0
112.74,13988.44,6,74.65,64,3.39,0
189.91,13147.83,7,45.98,39,2.12,0
179.91,10906.69,11,47.37,2,3.46,0
56.78,2486.99,6,34.32,66,1.33,0
53.96,11862.28,11,62.7,54,1.46,0
106.47,12311.4,13,22.59,29,3.14,0
171.58,11748.7,12,64.56,45,3.05,0
198.09,2595.52,6,21.51,31,2.09,1
72.56,10014.71,2,11.06,49,4.31,0
139.12,12680.55,5,36.38,9,1.75,0
107.13,9082.95,3,26.96,27,2.44,0
195.49,10049.7,7,89.45,56,3.22,0
176.32,7417.09,4,10.22,45,4.47,0
175.75,8401.9,1,21.78,43,2.67,0
120.3,1481.28,12,57.13,22,2.59,0
112.22,9945.48,12,50.7,33,3.32,0
91.01,2140.26,6,9.36,27,2.27,0
58.46,7090.2,6,5.69,40,3.84,0
179.71,5097.17,7,98.87,26,1.99,0
171.94,8635.99,11,67.59,45,4.29,0
199.96,2867.83,8,39.71,45,2.09,1
199.5,10683.01,3,49.69,26,4.97,0
133.31,12130.16,14,30.32,70,2.27,0
165.35,3286.96,6,37.76,67,4.52,0
191.71,2460.38,10,66.66,6,2.59,1
177.45,3037.22,2,88.87,28,1.98,1
87.1,13279.79,13,22.49,67,1.9,0
117.58,8394.65,14,84.83,13,4.4,0
69.37,7541.65,9,16.55,63,2.24,0
193.11,2493.97,2,25.42,13,2.35,1
140.93,10093.78,3,8.53,1,1.79,0
84.3,13151.99,12,18.38,40,4.85,0
150.76,12594.6,13,92.14,37,1.98,0
142.72,9764.77,10,48.65,31,1.99,0
103.72,2053.9,12,12.38,17,4.78,0
67.03,2573.56,12,96.17,9,4.6,0
150.74,1690.33,2,88.5,64,2.0,0
128.05,4604.71,9,76.69,57,4.46,0
165.85,2899.26,1,93.68,13,2.0,0
128.02,4640.67,5,25.91,37,1.34,1
177.83,6390.81,1,84.46,14,4.28,0
132.79,14201.76,5,70.55,25,4.09,0
134.14,9545.26,8,87.63,57,2.18,0
181.5,12689.63,8,80.71,71,1.36,0
110.52,10944.92,11,37.92,42,1.83,0
70.1,2575.04,8,78.57,42,4.08,0
54.32,11302.89,2,29.93,47,4.86,0
163.27,4851.38,8,36.22,44,2.04,0
143.05,9947.51,12,15.25,41,4.27,0
155.61,5773.47,5,93.83,3,1.91,1
81.94,14967.41,1,32.65,1,3.72,0
70.46,4689.72,7,54.46,11,1.33,0
52.18,4907.83,13,42.18,7,3.34,0
102.59,14029.41,6,96.19,12,2.08,0
138.49,1345.02,5,36.83,38,4.7,0
108.84,10753.65,1,78.96,54,2.16,0
115.62,11154.57,14,86.26,67,2.59,0
185.62,12709.3,14,46.38,53,4.36,0
102.24,14642.15,1,40.93,32,2.75,0
127.1,14658.43,6,76.04,45,1.95,0
167.55,1913.87,10,91.73,51,3.19,0
109.48,12505.75,12,76.72,37,4.36,0
143.31,10048.34,7,26.58,59,2.73,0
179.35,10062.79,10,89.39,54,1.53,0
192.43,2796.9,10,41.82,18,2.53,1
72.06,10102.62,1,59.74,1,4.82,0
188.99,14754.76,9,83.99,21,1.29,0
123.82,13765.46,4,22.9,28,2.63,0
88.74,7147.83,5,79.53,16,3.59,0
118.87,1559.27,2,61.64,48,1.31,0
197.0,6072.11,14,89.87,28,2.38,0
123.89,12569.46,12,21.34,22,4.76,0
99.31,10820.99,10,44.96,1,1.12,0
145.01,7430.81,13,84.12,42,4.01,0
86.02,1771.42,8,6.83,70,4.37,0
61.38,6976.53,14,15.66,3,2.11,0
69.33,7566.35,2,99.1,44,1.86,0
69.21,13999.78,3,31.64,27,4.66,0
72.79,9975.21,12,97.68,51,4.06,0
70.82,5363.14,9,22.34,24,1.45,0
146.13,8354.46,2,39.3,20,1.85,0
77.28,1924.77,14,76.52,32,3.49,0
101.85,14615.96,6,67.49,13,2.68,0
184.52,6040.84,12,60.21,43,3.02,0
121.09,7690.14,4,55.34,20,4.81,0
150.13,5973.98,7,85.13,2,2.68,0
75.85,10555.16,14,27.32,68,4.53,0
78.84,10271.25,14,47.03,60,3.64,0
56.13,11014.51,6,19.77,4,1.49,0
75.34,4754.01,10,61.61,17,3.98,0
91.79,5419.36,14,28.8,1,3.08,0
76.55,2753.52,9,36.71,33,1.9,0
63.31,10177.14,14,49.77,30,2.16,0
68.1,1557.16,9,7.54,5,3.23,0
119.12,9367.55,10,13.73,12,3.41,0
