marketing_spend,impressions,clicks,price,conversion_rate
14208.87,32806,2541,133.36,0.0339
7590.78,24007,1146,47.44,0.0396
19449.75,56238,1696,174.88,0.0403
19267.72,45411,836,132.23,0.0515
5409.75,9935,589,193.35,0.0256
10196.35,17701,976,143.93,0.028
6367.13,22787,824,59.78,0.034
6054.39,22982,1760,110.54,0.0289
1219.3,3810,44,140.24,0.0209
12386.5,21783,681,34.8,0.0452
10302.24,25808,1922,32.53,0.0432
1503.84,4996,162,52.0,0.0258
5933.61,20468,566,72.78,0.0322
18211.18,32699,1550,103.02,0.0535
5171.46,7758,525,112.86,0.0297
3325.45,10909,188,53.46,0.0331
10044.33,24021,1826,144.48,0.0342
19720.18,42126,2766,131.34,0.0457
5220.08,7998,181,80.06,0.0314
13606.64,38789,2321,32.32,0.0418
15351.58,55694,2058,43.2,0.0551
5133.93,19992,763,96.59,0.0141
14700.22,42842,2777,56.18,0.046
7671.77,21375,1654,94.06,0.0378
12829.96,21973,415,136.79,0.0287
12853.83,36919,1456,123.03,0.039
10947.61,26821,1171,69.3,0.0361
2260.65,6822,248,88.45,0.0227
16788.4,41498,1470,134.39,0.0465
6755.21,14191,194,176.35,0.0235
4137.11,7188,417,158.05,0.0102
1295.12,2962,120,124.08,0.0147
12022.41,20938,495,91.59,0.0438
13712.51,26633,1788,92.06,0.0436
823.46,3268,216,179.5,0.022
10485.81,27371,1206,36.67,0.0505
4916.67,13913,430,197.96,0.0159
13080.87,48191,2634,142.94,0.0478
3900.15,15557,469,145.79,0.0214
13973.29,41316,1096,36.46,0.0425
8041.34,28395,1736,132.94,0.0256
18766.23,43488,558,112.41,0.0356
3181.66,7204,120,47.98,0.038
7150.79,17925,188,77.25,0.041
2712.73,8630,179,181.35,0.0109
18531.53,59402,881,123.5,0.0443
17608.12,40289,3211,100.28,0.0469
5529.86,10136,306,42.36,0.0293
13369.69,41192,842,151.4,0.0261
16435.83,29927,804,149.48,0.0387
11326.42,33370,2520,134.39,0.0319
10828.19,35014,1625,116.74,0.0326
5216.12,16960,603,103.74,0.0286
2315.5,7835,557,130.86,0.0275
17995.71,66263,2495,69.68,0.0485
18058.15,49658,1661,190.01,0.0389
12845.48,42719,1047,130.1,0.0399
7111.08,21674,790,82.9,0.0351
7309.59,14375,462,106.45,0.0272
14656.14,22925,1316,166.97,0.0358
17993.65,39790,1204,57.47,0.054
17798.19,46410,2339,79.78,0.0431
15707.57,47794,698,145.52,0.0453
13019.62,47195,1104,83.63,0.0483
2140.73,4261,164,164.73,0.0131
3651.76,6624,501,52.18,0.0312
18021.81,70442,2565,159.66,0.0443
12325.37,21817,1232,41.62,0.0416
679.34,1832,51,32.14,0.0302
2478.7,7347,139,182.7,0.0163
13438.28,38345,541,128.83,0.0299
598.7,1027,32,89.81,0.0242
3635.76,5972,126,69.54,0.023
11200.31,19754,438,134.87,0.038
13991.96,41472,2623,116.53,0.036
13213.24,37801,420,198.57,0.0292
4873.25,10158,498,197.15,0.0245
14387.49,44521,1628,137.95,0.0403
5126.36,18199,827,105.29,0.0218
6845.29,10979,542,113.49,0.0238
15056.58,41335,1320,146.02,0.035
13167.84,42444,1301,47.27,0.047
17059.86,36351,2230,85.82,0.0488
13323.45,30237,2146,42.8,0.0415
11582.02,35141,825,42.47,0.0373
2326.66,8713,147,63.29,0.0286
7670.46,27037,1970,112.49,0.0293
5671.45,16775,579,163.41,0.033
5257.8,17485,850,112.53,0.0268
19473.71,46972,1652,87.03,0.0596
8165.41,25332,476,44.0,0.032
17894.91,47698,2445,123.55,0.0366
12807.2,25292,1183,76.12,0.036
15998.82,52066,1260,134.54,0.0465
10301.42,29783,1240,196.12,0.0346
11749.63,28159,1852,48.92,0.0388
10104.1,38177,1960,66.06,0.0362
4307.24,6686,112,110.43,0.0196
14587.82,33398,1615,194.66,0.0234
5975.06,9812,581,161.21,0.0264
974.16,3328,218,182.7,0.0143
13086.71,42601,2302,86.73,0.041
3953.66,9206,190,198.65,0.0091
18838.94,60080,3588,47.48,0.0617
19101.61,47560,2731,39.01,0.0522
18339.86,62184,728,175.45,0.0426
7718.09,20341,790,187.64,0.0155
801.4,2028,68,45.4,0.0257
18602.21,71373,4058,49.28,0.0544
8849.59,18825,473,35.64,0.0413
19349.77,34851,1790,47.77,0.055
19290.59,57126,4223,65.6,0.0548
17133.68,67221,4426,194.91,0.0306
6241.75,15259,1137,143.54,0.026
8009.41,13256,1041,162.35,0.0263
17097.17,40149,431,161.94,0.0406
6679.98,18469,990,120.96,0.0283
3805.11,7248,282,165.57,0.0128
11357.62,35723,2507,131.29,0.0273
18755.02,74915,2070,83.47,0.0387
14072.58,37002,2911,125.39,0.0427
11616.19,27726,1468,120.7,0.0395
2394.94,5992,393,169.99,0.0208
12492.64,22335,357,196.89,0.0306
19806.05,73444,1678,99.88,0.0391
3231.64,8199,517,159.78,0.0137
10607.43,26181,302,46.96,0.0421
17608.77,55454,3725,162.06,0.0409
14944.99,38933,427,93.14,0.042
14091.81,43975,2463,36.7,0.0493
14198.44,23479,835,91.75,0.0422
7510.08,26543,1402,133.81,0.0285
6225.04,23974,1408,50.27,0.0311
16282.54,50833,1727,187.09,0.0406
16297.21,63338,1112,43.2,0.048
17407.91,32702,486,188.1,0.0306
18308.19,49314,2526,150.21,0.0386
10471.18,31461,1461,86.05,0.0354
10279.57,30369,1882,96.43,0.0407
16066.76,40226,1838,155.94,0.0383
13174.3,30897,1223,132.25,0.0356
14188.35,25781,976,144.18,0.0306
16017.96,39714,471,96.16,0.0483
17855.1,34043,1140,112.93,0.0422
7090.91,23655,1853,198.28,0.0203
7823.87,15820,1126,66.37,0.0425
2332.65,3841,127,101.04,0.0259
11776.46,33927,1735,79.61,0.0316
1200.87,3588,249,160.07,0.0069
9579.16,35249,1441,159.88,0.0281
11081.57,32607,367,79.72,0.0326
6087.55,14389,219,43.84,0.038
12021.25,42165,1928,31.94,0.045
1094.75,3121,243,102.67,0.0222
1228.29,2086,122,99.76,0.0183
16540.71,48210,721,198.03,0.0437
7523.72,28365,660,109.87,0.0445
2977.68,7417,475,73.59,0.0257
10683.74,23940,1650,181.51,0.0296
15514.87,28837,1535,113.48,0.0424
4708.51,8845,487,131.86,0.0226
12646.36,32652,391,46.26,0.0402
2164.28,6469,440,95.1,0.0183
1507.79,2566,167,190.52,0.0075
10861.42,41805,1176,130.22,0.0353
11042.38,37410,2230,88.57,0.0351
12929.88,38357,960,136.36,0.0229
14658.78,52348,671,184.77,0.0357
19529.12,33209,800,76.58,0.0514
10567.86,28450,640,115.87,0.041
6797.65,20904,703,192.98,0.0228
16006.13,57168,2246,59.31,0.0407
5781.23,19995,912,152.34,0.0123
9059.94,19865,862,134.46,0.0265
2029.9,7820,226,145.54,0.0154
994.34,1801,22,89.71,0.0272
19271.64,71071,3721,83.36,0.0505
16801.61,65986,2488,146.32,0.0462
14071.5,27339,845,66.64,0.0378
8474.58,28010,1980,101.34,0.0374
3879.24,6210,387,61.99,0.0332
3550.52,8924,625,31.41,0.0221
5379.74,15013,670,194.91,0.0252
11209.92,33087,634,103.39,0.0369
14434.62,55427,3256,194.79,0.0341
13373.85,42537,1039,53.85,0.0404
5958.71,16108,659,129.85,0.0323
19119.87,67382,980,64.17,0.0463
14888.99,57715,3911,164.31,0.0401
11309.9,17589,331,163.23,0.0347
12428.55,49171,3600,49.14,0.0389
8682.2,14893,1050,185.05,0.0344
5330.75,18849,801,63.09,0.0328
7441.47,16377,1017,134.21,0.031
15278.0,27966,1492,197.56,0.0255
780.67,2029,134,180.01,0.0238
2763.42,8594,346,192.62,0.0088
1397.05,3426,223,88.24,0.0284
1294.21,2118,90,47.95,0.0222
17181.48,51521,3909,62.02,0.0465
14221.33,53415,2353,115.08,0.0438
9746.39,23957,1015,164.85,0.0333
2407.77,4914,319,55.53,0.0217
10086.51,26290,1775,142.15,0.0364
9732.7,15776,770,85.01,0.0413
3877.44,13770,311,88.0,0.0223
8960.11,31950,1366,142.53,0.0372
8270.84,24564,1910,109.39,0.0242
12509.08,29806,1869,168.05,0.0288
12884.33,45088,3011,56.51,0.0461
1383.43,3994,49,164.29,0.0114
7804.95,27823,1189,40.92,0.0389
12704.27,39112,2161,62.99,0.044
10311.16,35687,2430,141.55,0.0304
17201.55,51543,693,175.34,0.0424
13344.53,33833,2357,72.96,0.0416
3677.22,14322,693,85.62,0.0281
1876.09,5352,127,121.31,0.0264
13027.18,39247,1264,65.97,0.0469
1016.97,2086,62,167.9,0.0187
11922.62,36532,1723,161.52,0.026
18834.49,55167,751,54.7,0.0554
11721.75,22999,485,108.85,0.0323
8069.31,13306,890,161.72,0.0195
13044.12,39275,757,87.35,0.0405
9435.93,32169,847,137.63,0.0259
11139.53,31285,1306,38.54,0.0468
18858.56,38979,1801,133.48,0.049
8029.0,25422,1613,55.95,0.0269
19243.22,32719,1352,171.2,0.0376
18154.34,47285,3087,90.43,0.0409
4317.93,8240,439,77.86,0.0264
1852.55,3633,65,172.95,0.0178
2465.17,4944,104,38.52,0.0286
855.33,2110,86,97.42,0.0186
2341.64,3812,144,92.9,0.0307
13818.63,34470,2139,78.42,0.0314
1888.18,5248,266,185.0,0.0205
6720.02,18199,676,157.66,0.0216
16975.07,41707,916,40.87,0.051
953.8,3432,89,151.5,0.0136
16382.14,30525,1535,119.64,0.0503
5996.17,16575,657,183.15,0.0145
2804.21,4641,214,83.2,0.0259
14086.37,23635,519,127.61,0.041
12764.39,37459,2113,115.13,0.0296
17610.7,51336,3577,113.23,0.0405
14833.89,54812,1538,107.54,0.0408
16167.88,46801,2078,64.96,0.0433
5999.67,23396,1832,158.47,0.0191
3960.07,6422,214,106.73,0.0235
15136.99,26414,1364,192.95,0.0367
16233.28,26138,426,74.34,0.0452
19814.85,38900,2039,146.07,0.0505
8546.04,24383,397,189.92,0.0188
7754.35,24147,1863,142.79,0.0211
15640.05,25242,1517,178.12,0.0453
7145.67,27617,1800,170.67,0.0204
18649.77,67240,3986,91.22,0.0423
17239.05,38642,1982,132.02,0.0339
8865.38,15009,623,56.56,0.043
15141.99,29144,2043,121.04,0.0389
15213.59,27649,2128,69.17,0.0446
2510.92,4540,204,156.44,0.0173
18099.78,50614,3807,119.77,0.0502
10352.42,21891,1113,99.91,0.0346
16615.92,39801,1898,75.7,0.0591
6740.97,26787,1120,199.78,0.0208
17962.7,57674,1422,42.19,0.058
8089.43,31326,321,37.41,0.0424
711.33,1321,36,66.93,0.0242
18154.95,44577,2036,195.08,0.0348
2280.09,6582,241,196.47,0.0154
6726.62,11381,471,141.34,0.0285
19026.21,28738,2260,179.62,0.0377
19036.84,60463,2087,66.37,0.0527
11682.04,36267,1511,195.25,0.0342
12820.83,32398,627,54.27,0.0542
9244.69,25184,336,47.19,0.0434
6217.61,15784,1015,49.08,0.0437
6908.96,10778,538,127.43,0.0245
13614.11,31836,2014,162.77,0.0377
15171.3,29473,604,92.33,0.0502
15935.79,27825,1392,196.24,0.0298
15897.55,61870,1717,103.85,0.041
2278.52,6832,177,55.58,0.0365
10141.2,33685,364,109.21,0.0294
1622.4,3713,71,145.44,0.0112
11215.81,27847,881,171.48,0.0373
9109.84,19061,347,107.99,0.0388
17810.23,31033,2452,130.91,0.0458
7342.84,14301,452,75.45,0.0332
2782.81,9723,186,139.81,0.018
3288.34,10503,251,197.62,0.0166
15349.46,44012,2251,38.34,0.0571
12555.25,33745,489,180.71,0.032
2471.89,9408,662,125.59,0.032
2140.08,3599,278,72.86,0.0214
14168.9,31193,851,192.33,0.0319
1918.88,4557,189,112.17,0.0198
16526.27,57116,660,86.39,0.0407
14271.72,56820,3117,60.85,0.0446
2086.3,4385,171,71.56,0.0281
2154.34,7940,230,171.58,0.0187
19739.47,70599,1728,134.45,0.057
7798.28,16077,897,185.25,0.0255
7727.52,19306,756,69.43,0.0404
16349.59,41269,932,50.59,0.0498
18971.35,74852,4359,31.03,0.0637
19727.02,38512,1908,116.34,0.0599
15190.87,53136,3725,199.71,0.0355
7837.06,18303,334,148.14,0.022
2128.26,7081,460,82.43,0.0222
15654.36,39919,2281,179.07,0.037
11388.88,33551,606,162.89,0.0331
8772.33,31418,1842,32.62,0.0434
18173.91,63798,2610,168.87,0.0427
2668.35,9782,745,81.09,0.0259
10106.19,16666,332,55.44,0.0364
721.4,2330,128,68.48,0.0262
9638.88,17832,655,109.66,0.0428
1597.91,4058,312,102.23,0.0273
2816.95,8089,268,79.11,0.029
2791.76,6999,541,59.28,0.0334
13159.6,36834,2693,159.58,0.0319
15047.88,60061,1737,198.32,0.0302
11875.69,21828,1446,162.22,0.0279
19262.36,61421,4895,80.31,0.0502
7809.98,19447,538,71.62,0.0324
6071.39,11126,451,67.0,0.0384
17437.68,33077,1535,53.24,0.0485
4860.12,18824,577,123.73,0.0209
19282.84,71327,789,132.92,0.0553
737.01,2777,71,149.94,0.0139
19412.64,77240,2297,145.64,0.0453
1341.62,2711,111,79.7,0.0263
17877.29,42702,938,86.15,0.0425
10790.17,34238,2435,145.86,0.0378
19862.81,53818,3194,89.41,0.054
1939.03,4937,79,66.15,0.0341
11300.16,27059,1502,93.64,0.0342
19401.4,57903,3228,76.25,0.052
10700.41,31448,2419,45.01,0.0417
12773.27,24316,248,171.12,0.0334
14067.1,37691,1031,175.03,0.0263
9363.55,27001,2024,67.36,0.0379
12737.38,37266,2804,41.01,0.0379
11894.13,24089,1456,155.6,0.0341
18072.58,60646,3857,65.96,0.0399
1386.2,2167,36,96.88,0.0131
5978.78,14272,656,40.9,0.039
19033.02,65674,1721,68.47,0.049
17860.14,51968,1179,164.79,0.0354
9385.31,20206,1348,166.75,0.0338
12592.59,40767,793,65.2,0.044
5908.93,17245,738,87.11,0.0345
4168.36,14550,1101,52.82,0.0301
9542.12,31847,733,42.61,0.0535
7390.37,22358,1754,198.67,0.0182
11881.29,32322,2573,141.45,0.0424
2015.83,3695,181,122.16,0.0205
19500.7,41991,920,160.13,0.035
19731.11,50270,1615,172.81,0.0447
14114.15,42318,1681,167.14,0.036
10953.88,30499,965,32.81,0.0379
6535.79,14512,430,61.76,0.029
16369.0,24818,1937,141.33,0.0403
13852.26,37963,787,93.88,0.0431
3671.03,8128,499,197.02,0.0035
18263.08,60935,611,143.12,0.0483
16539.48,25799,1335,192.61,0.0331
19021.1,56342,4176,64.25,0.0454
14651.53,56462,1703,176.87,0.039
12461.6,24126,555,84.63,0.0401
8655.74,23190,1290,198.23,0.0292
18688.21,32304,1934,56.81,0.0545
17388.25,53281,3099,117.78,0.0443
1381.76,3974,129,164.78,0.0148
1014.16,2554,71,103.55,0.0236
7841.04,21982,1691,109.57,0.0287
16305.79,61007,4553,197.68,0.0304
19751.88,39321,1652,102.3,0.0524
3433.13,5343,370,132.69,0.0212
12085.55,44163,1840,39.27,0.0444
7927.37,23329,926,173.18,0.03
19413.33,72347,1517,140.19,0.0445
16921.32,50635,2018,98.68,0.0456
16847.41,59394,2828,32.75,0.049
9639.52,24814,287,130.58,0.0336
8588.98,28985,1191,32.15,0.0414
5831.44,22058,1427,30.2,0.0402
1599.32,4687,270,134.74,0.016
17362.09,33890,1846,62.13,0.0475
16351.57,35516,2616,62.62,0.0522
19994.49,39921,450,141.06,0.0471
19934.42,42204,2068,39.13,0.0515
11330.92,25676,1672,83.28,0.0452
15495.25,44748,2143,55.4,0.0392
18922.93,56201,1836,128.63,0.0494
17068.12,43801,856,142.5,0.035
5323.29,16175,1167,152.59,0.0322
9285.61,15822,680,73.39,0.0289
3018.61,5190,371,45.17,0.0358
19104.0,36863,1880,43.38,0.0539
12320.41,34438,1970,102.45,0.0364
4958.53,10091,669,190.79,0.0193
13598.16,30028,1686,67.01,0.0469
12553.5,31394,1189,73.65,0.0369
7484.17,26417,1214,47.15,0.0324
2714.37,4166,276,132.95,0.024
13595.68,42465,1535,145.58,0.0273
10646.0,33771,1255,139.3,0.0291
15560.21,54408,909,176.39,0.0509
10643.19,40783,3019,112.69,0.0299
17117.54,26538,434,52.86,0.0561
11262.18,21223,1175,79.2,0.036
11438.29,42498,1654,142.61,0.0354
17594.75,46561,1788,134.23,0.0462
8367.92,24363,1403,120.27,0.0362
3113.3,9830,144,146.1,0.0191
1061.26,3394,175,138.36,0.0277
15225.18,58303,3734,179.83,0.0319
12596.04,50288,3418,129.62,0.0371
14229.56,46963,1030,162.36,0.0363
4652.8,10320,752,72.28,0.0241
3159.24,11687,654,145.29,0.0188
783.62,1272,91,183.37,0.0136
7336.46,15243,670,95.57,0.0293
12003.39,44934,2154,162.45,0.044
8148.76,17442,1297,153.21,0.0227
9030.76,18528,1352,40.12,0.0454
18131.09,33458,1384,128.86,0.0486
7290.98,26596,777,52.13,0.0357
10522.8,28939,1086,194.44,0.022
15781.23,50298,1868,167.94,0.033
8232.58,17269,519,48.65,0.0349
12630.69,42882,1235,50.7,0.0349
17316.09,58875,4137,131.06,0.0379
19015.65,43384,646,88.63,0.0422
3367.93,8510,489,35.93,0.0382
18568.46,37587,831,122.08,0.0487
10096.27,39793,1358,95.93,0.0395
5535.77,17238,247,47.18,0.0365
9453.15,36266,1048,166.33,0.0284
19610.64,44290,2825,185.56,0.0482
10106.05,34914,2512,158.62,0.0262
6910.66,23597,602,169.81,0.0239
12851.32,41499,1762,66.8,0.0463
5182.84,20286,871,74.81,0.0237
1979.33,4916,350,65.45,0.0419
3013.15,5504,349,160.06,0.0187
2996.89,9528,437,191.15,0.0161
3462.1,11506,655,151.86,0.0263
3207.13,9421,653,179.85,0.0214
12997.06,26216,280,138.58,0.0358
4046.66,11173,427,95.9,0.0271
7240.51,16512,1214,102.38,0.0231
17987.37,46204,2856,42.8,0.0499
9742.25,30328,1456,35.35,0.0437
13517.38,45459,2140,148.23,0.0377
3860.24,8031,276,104.53,0.0314
4249.64,10681,496,123.88,0.0234
1296.94,2818,157,124.8,0.0125
3794.23,7575,298,77.15,0.0333
5932.51,20517,1231,110.9,0.035
3951.7,14910,1048,110.03,0.0294
2229.7,5408,113,96.03,0.0229
2852.4,9636,401,169.51,0.0225
9485.19,35498,1369,106.7,0.0507
4523.51,16354,951,132.62,0.0241
7603.26,14880,409,182.24,0.0166
10316.64,40139,2200,177.26,0.0248
13962.7,34093,2435,181.37,0.0359
1266.59,2974,117,75.9,0.0163
16088.5,26644,1966,35.95,0.0514
12744.06,34606,2752,74.38,0.0436
2094.3,3712,65,77.38,0.0331
17534.78,37197,979,184.59,0.0444
18457.01,42310,3238,140.37,0.048
1691.02,5956,459,43.89,0.0173
5899.11,21760,366,53.01,0.0382
16220.92,36597,404,56.46,0.0522
15091.06,55033,1171,137.17,0.0402
4098.16,14930,1190,155.02,0.012
4582.31,15633,353,176.14,0.0154
7724.21,14419,651,189.91,0.0168
9948.2,32091,2227,64.29,0.0284
12555.97,48498,554,82.66,0.0406
7693.82,24669,1291,70.85,0.0305
9519.43,22171,652,90.99,0.0483
15075.68,41480,2919,185.49,0.0332
1215.32,3785,113,127.77,0.0255
5422.52,15055,874,155.49,0.0147
14410.32,25937,1483,113.32,0.0376
17956.53,40944,1044,34.91,0.0539
10477.71,36735,457,40.91,0.0371
10876.21,39737,1536,121.45,0.0321
2589.85,4774,144,152.19,0.0176
9224.54,35800,2385,66.61,0.036
10886.04,25278,1669,152.72,0.0403
5228.17,16499,693,167.81,0.023
5750.24,19433,1019,100.02,0.031
7857.04,27734,1450,156.89,0.0288
891.39,3445,234,98.69,0.0245
6780.54,15475,615,145.32,0.0252
4623.24,16858,494,159.88,0.0193
6886.2,12596,360,198.63,0.0213
2835.36,9251,440,88.72,0.0312
17865.28,59937,2484,99.88,0.0524
12075.05,38571,1574,58.16,0.0411
13742.5,29282,480,64.69,0.048
15888.84,58512,3528,147.88,0.0381
10219.62,19644,490,185.9,0.0269
2194.95,3587,85,97.08,0.0212
10973.58,36143,1406,60.57,0.0395
11943.4,32112,833,78.47,0.0468
15036.07,54472,2771,107.36,0.0423
8917.36,21923,789,79.41,0.0361
2987.82,5739,238,69.71,0.0203
6033.63,21667,1031,155.12,0.022
7580.1,21772,528,31.33,0.037
13095.39,25837,540,121.67,0.0333
11630.18,38391,2750,164.94,0.0311
7443.89,20678,835,75.26,0.0315
19737.05,59424,2308,132.56,0.0467
12312.61,32656,408,143.71,0.0347
5125.92,18309,821,141.35,0.0188
2484.76,8880,433,105.79,0.0212
3480.75,11394,560,88.92,0.0267
5296.18,9340,556,172.11,0.0267
3633.29,13069,293,158.94,0.0208
4138.06,13149,364,84.61,0.0244
6059.36,19648,1312,47.51,0.0363
3880.79,9343,713,42.21,0.0401
17986.93,66519,1298,46.03,0.057
2064.56,6841,307,129.09,0.0229
10727.97,19112,478,38.78,0.0458
8502.74,21422,304,87.28,0.0412
19656.38,73042,2395,158.04,0.0491
2684.76,4344,87,80.04,0.0289
8258.18,32236,1924,159.76,0.0318
19404.67,62054,2939,156.73,0.038
17377.39,53495,1074,71.79,0.0414
16432.91,35765,381,153.9,0.04
5529.11,11733,781,157.12,0.0229
3832.31,14774,330,97.57,0.0233
13538.54,30403,1594,65.77,0.0479
18622.83,64040,2151,118.62,0.0368
11356.88,28197,1438,186.64,0.0257
11646.45,21524,691,138.73,0.0312
5959.59,9099,146,59.4,0.0248
15505.11,44355,1136,146.07,0.0461
4147.35,16338,378,102.62,0.0192
6811.75,16504,660,130.56,0.0242
8796.01,21049,1180,154.79,0.0323
10398.4,24543,699,117.54,0.0371
5226.99,14643,159,168.38,0.0155
2739.32,7127,330,152.77,0.0222
12407.09,45904,2405,134.56,0.0366
6128.3,16937,1311,55.63,0.0453
11834.15,32773,1680,172.11,0.0326
3510.07,6479,278,189.1,0.0156
9882.23,39102,1961,53.28,0.0352
10885.49,23131,1734,113.0,0.0313
1510.56,2543,173,74.01,0.0207
7063.78,22306,727,158.27,0.0316
3121.09,9327,248,152.68,0.0195
1735.81,4405,125,53.95,0.03
19804.22,50609,2293,179.09,0.0494
6785.9,23497,1459,60.77,0.0223
16292.55,32410,1466,165.53,0.0443
5465.49,19406,286,107.69,0.0277
13789.3,43048,2611,85.81,0.0443
15324.44,39038,2593,56.9,0.0432
12114.96,32045,970,58.49,0.0385
9695.74,20765,1173,142.52,0.0327
8530.9,28837,1149,123.57,0.0424
7302.93,20318,1468,50.75,0.0409
18625.82,42879,2966,49.16,0.0594
16697.08,49926,2336,42.29,0.0499
19318.02,77066,4501,156.44,0.0403
2923.8,7567,544,151.02,0.0154
14751.92,56083,2507,39.93,0.0457
18797.64,44410,1418,125.25,0.0354
